Date,Temp,Wind
2023-08-06,31.5,3.5
2023-08-07,32.0,3.2
2023-08-08,31.4,3.3
2023-08-09,31.2,2.7
2023-08-10,30.5,2.8
2023-08-11,30.3,1.9
2023-08-12,28.6,2.0
2023-08-13,30.3,2.5
2023-08-14,30.7,2.6
2023-08-15,30.9,2.5
2023-08-16,30.9,2.4
2023-08-17,28.3,1.9
2023-08-18,28.2,2.6
2023-08-19,28.1,2.9
2023-08-20,30.4,2.0
2023-08-21,30.0,2.1
2023-08-22,28.6,1.8
2023-08-23,29.2,2.3
2023-08-24,29.1,1.9
2023-08-25,29.6,2.5
2023-08-26,28.9,2.3
2023-08-27,30.3,2.3
2023-08-28,30.4,2.9
2023-08-29,30.4,2.4
2023-08-30,31.2,2.3
2023-08-31,31.6,1.9
2023-09-01,31.3,1.7
2023-09-02,30.0,1.6
2023-09-03,28.9,2.6
2023-09-04,28.8,3.1
2023-09-05,28.0,3.0
2023-09-06,26.7,2.7
2023-09-07,28.5,1.9
2023-09-08,29.7,2.2
2023-09-09,30.4,2.5
2023-09-10,28.6,2.6
2023-09-11,26.5,2.0
2023-09-12,28.5,2.8
2023-09-13,29.2,2.6
2023-09-14,28.8,2.1
2023-09-15,29.9,2.8
2023-09-16,30.3,2.5
2023-09-17,30.4,2.2
2023-09-18,30.3,2.3
2023-09-19,30.3,2.6
2023-09-20,30.0,2.3
2023-09-21,28.0,1.4
2023-09-22,27.4,2.0
2023-09-23,28.3,2.0
2023-09-24,29.8,1.8
2023-09-25,29.1,1.5
2023-09-26,29.2,1.7
2023-09-27,29.4,1.3
2023-09-28,29.1,1.8
2023-09-29,28.2,1.4
2023-09-30,29.4,2.2
2023-10-01,28.5,2.1
2023-10-02,28.8,2.0
2023-10-03,30.0,2.6
2023-10-04,30.1,2.1
2023-10-05,29.4,2.1
2023-10-06,29.0,1.8
2023-10-07,29.6,1.8
2023-10-08,29.8,2.0
2023-10-09,30.1,1.7
2023-10-10,29.8,1.5
2023-10-11,29.1,1.3
2023-10-12,29.4,1.5
2023-10-13,28.7,1.8
2023-10-14,28.6,1.5
2023-10-15,29.1,1.5
2023-10-16,28.8,1.6
2023-10-17,28.4,1.5
2023-10-18,29.0,1.4
2023-10-19,29.0,1.3
2023-10-20,28.8,2.1
2023-10-21,28.8,2.3
2023-10-22,28.4,2.1
2023-10-23,27.2,2.4
2023-10-24,27.2,1.8
2023-10-25,27.9,1.2
2023-10-26,27.8,1.5
2023-10-27,28.5,2.0
2023-10-28,27.9,2.3
2023-10-29,28.3,2.1
2023-10-30,27.8,2.2
2023-10-31,27.6,2.4
2023-11-01,27.7,2.2
2023-11-02,28.5,1.8
2023-11-03,28.6,2.5
2023-11-04,28.0,1.9
2023-11-05,28.0,2.3
2023-11-06,27.5,1.7
2023-11-07,28.0,2.2
2023-11-08,27.4,1.9
2023-11-09,27.9,1.7
2023-11-10,27.4,1.8
2023-11-11,26.9,2.1
2023-11-12,26.9,1.7
2023-11-13,27.1,2.4
2023-11-14,27.4,2.6
2023-11-15,27.3,2.2
2023-11-16,27.7,1.8
2023-11-17,27.9,1.9
2023-11-18,27.5,1.9
2023-11-19,27.4,2.3
2023-11-20,27.4,2.8
2023-11-21,26.6,2.9
2023-11-22,26.1,1.5
2023-11-23,26.3,2.0
2023-11-24,26.8,2.4
