Date,Temp,Wind
2023-08-06,28.6,3.8
2023-08-07,28.1,4.0
2023-08-08,28.8,3.7
2023-08-09,28.8,3.3
2023-08-10,28.9,2.5
2023-08-11,29.7,2.2
2023-08-12,29.1,3.1
2023-08-13,29.1,2.5
2023-08-14,28.1,3.0
2023-08-15,27.9,2.5
2023-08-16,28.6,3.0
2023-08-17,27.9,3.5
2023-08-18,25.7,3.7
2023-08-19,24.7,4.2
2023-08-20,26.5,3.3
2023-08-21,28.3,3.2
2023-08-22,28.4,2.3
2023-08-23,28.8,2.3
2023-08-24,28.2,2.5
2023-08-25,28.6,2.5
2023-08-26,26.8,1.8
2023-08-27,28.0,2.7
2023-08-28,28.1,2.9
2023-08-29,28.1,2.7
2023-08-30,28.6,3.2
2023-08-31,28.8,1.9
2023-09-01,29.8,1.4
2023-09-02,29.8,2.1
2023-09-03,28.8,2.8
2023-09-04,26.5,3.4
2023-09-05,24.9,3.8
2023-09-06,25.9,3.4
2023-09-07,25.4,3.6
2023-09-08,26.8,4.3
2023-09-09,26.8,3.9
2023-09-10,26.9,4.3
2023-09-11,25.6,4.5
2023-09-12,26.7,3.2
2023-09-13,25.5,2.7
2023-09-14,24.8,2.5
2023-09-15,26.8,3.1
2023-09-16,27.8,3.0
2023-09-17,28.1,2.4
2023-09-18,28.5,3.1
2023-09-19,28.3,2.9
2023-09-20,27.8,1.9
2023-09-21,25.9,1.5
2023-09-22,26.9,1.7
2023-09-23,27.3,1.5
2023-09-24,27.1,1.9
2023-09-25,26.8,2.5
2023-09-26,27.6,1.4
2023-09-27,28.4,1.2
2023-09-28,28.4,1.4
2023-09-29,26.9,1.9
2023-09-30,27.1,3.4
2023-10-01,27.0,3.1
2023-10-02,26.3,2.4
2023-10-03,27.7,2.9
2023-10-04,27.3,3.6
2023-10-05,27.1,2.9
2023-10-06,26.4,3.3
2023-10-07,27.2,2.5
2023-10-08,27.9,1.5
2023-10-09,27.9,1.2
2023-10-10,28.4,1.1
2023-10-11,28.0,1.8
2023-10-12,27.3,1.9
2023-10-13,27.3,1.4
2023-10-14,27.1,1.5
2023-10-15,27.3,1.6
2023-10-16,27.2,1.6
2023-10-17,26.5,1.0
2023-10-18,26.3,1.5
2023-10-19,26.4,1.7
2023-10-20,26.5,1.7
2023-10-21,27.0,1.6
2023-10-22,25.0,2.5
2023-10-23,24.2,3.3
2023-10-24,24.4,2.8
2023-10-25,24.7,2.3
2023-10-26,24.5,2.3
2023-10-27,25.2,1.6
2023-10-28,25.9,1.4
2023-10-29,26.0,1.7
2023-10-30,25.7,2.0
2023-10-31,25.3,2.2
2023-11-01,26.0,1.9
2023-11-02,25.9,1.9
2023-11-03,26.0,1.5
2023-11-04,26.1,2.1
2023-11-05,26.3,1.8
2023-11-06,25.7,2.4
2023-11-07,25.5,1.9
2023-11-08,25.5,2.1
2023-11-09,24.4,1.6
2023-11-10,25.4,2.0
2023-11-11,24.8,1.4
2023-11-12,25.1,1.5
2023-11-13,25.6,1.4
2023-11-14,25.2,1.5
2023-11-15,25.0,1.8
2023-11-16,25.1,1.7
2023-11-17,25.6,1.1
2023-11-18,26.0,1.7
2023-11-19,25.2,2.3
2023-11-20,25.7,2.1
2023-11-21,25.2,2.8
2023-11-22,26.5,1.6
2023-11-23,24.9,2.6
2023-11-24,25.3,3.1
2023-11-25,25.0,2.5
2023-11-26,25.0,2.8
2023-11-27,24.9,3.0
2023-11-28,24.7,2.7
2023-11-29,24.8,2.8
2023-11-30,24.6,2.7
2023-12-01,24.3,2.0
2023-12-02,24.5,2.0
2023-12-03,25.2,2.9
2023-12-04,23.4,4.0
2023-12-05,22.3,6.1
2023-12-06,21.8,3.4
2023-12-07,23.2,2.0
2023-12-08,23.5,1.9
2023-12-09,23.7,2.4
2023-12-10,23.4,1.7
2023-12-11,23.1,1.2
2023-12-12,23.4,1.2
2023-12-13,23.7,1.6
2023-12-14,24.5,1.6
2023-12-15,23.2,1.3
2023-12-16,24.6,1.2
2023-12-17,24.5,1.6
2023-12-18,23.4,1.2
2023-12-19,23.5,1.2
2023-12-20,22.8,0.8
2023-12-21,23.3,0.9
2023-12-22,22.0,1.2
2023-12-23,23.4,1.8
2023-12-24,23.9,1.4
2023-12-25,23.5,1.6
2023-12-26,23.7,1.5
2023-12-27,24.3,1.9
2023-12-28,24.2,2.3
2023-12-29,24.0,1.7
2023-12-30,23.7,1.3
2023-12-31,22.9,1.9
2024-01-01,22.5,2.0
2024-01-02,22.5,2.4
2024-01-03,22.1,2.9
2024-01-04,22.2,2.8
2024-01-05,21.8,3.6
2024-01-06,22.1,3.3
2024-01-07,22.0,2.5
2024-01-08,22.8,2.8
2024-01-09,23.5,2.6
2024-01-10,24.1,2.0
2024-01-11,24.2,1.9
2024-01-12,24.3,2.4
2024-01-13,24.8,1.7
2024-01-14,24.6,2.1
2024-01-15,23.8,2.6
2024-01-16,23.8,2.4
2024-01-17,22.9,3.3
2024-01-18,23.2,3.1
2024-01-19,23.4,2.4
2024-01-20,23.4,3.6
2024-01-21,24.1,3.0
2024-01-22,25.3,2.9
2024-01-23,23.7,3.7
2024-01-24,24.0,2.8
2024-01-25,25.6,1.6
2024-01-26,25.0,2.9
2024-01-27,24.6,2.4
2024-01-28,23.7,2.5
2024-01-29,23.1,2.4
2024-01-30,23.3,2.5
2024-01-31,23.0,2.7
2024-02-01,23.9,3.2
2024-02-02,25.2,2.5
2024-02-03,25.7,2.2
2024-02-04,25.4,2.7
2024-02-05,25.6,2.6
2024-02-06,26.4,2.5
2024-02-07,27.7,2.1
2024-02-08,28.0,1.8
2024-02-09,26.7,2.6
2024-02-10,26.8,3.8
2024-02-11,26.0,4.5
2024-02-12,24.4,3.5
2024-02-13,24.0,3.4
2024-02-14,24.2,2.8
2024-02-15,25.3,2.9
2024-02-16,24.7,2.6
2024-02-17,25.1,2.2
2024-02-18,25.8,2.7
2024-02-19,26.5,2.8
2024-02-20,26.7,2.7
2024-02-21,26.9,3.3
2024-02-22,27.0,2.9
2024-02-23,26.6,2.7
2024-02-24,27.0,4.0
2024-02-25,26.8,4.0
2024-02-26,26.8,4.7
2024-02-27,27.0,3.2
2024-02-28,27.1,2.4
2024-02-29,28.5,2.5
2024-03-01,28.8,3.0
2024-03-02,28.9,3.8
2024-03-03,28.0,3.7
2024-03-04,28.3,3.0
2024-03-05,28.7,2.7
2024-03-06,29.2,3.0
2024-03-07,29.2,3.4
2024-03-08,29.4,2.7
2024-03-09,30.0,3.1
2024-03-10,29.5,3.9
2024-03-11,29.2,3.1
2024-03-12,30.2,3.1
2024-03-13,31.3,3.5
2024-03-14,31.3,4.3
2024-03-15,30.6,4.2
2024-03-16,29.8,4.4
2024-03-17,28.9,3.7
2024-03-18,29.2,2.8
2024-03-19,27.5,2.9
2024-03-20,27.3,3.5
2024-03-21,28.2,3.5
2024-03-22,29.7,3.2
2024-03-23,30.3,3.6
2024-03-24,30.3,4.1
2024-03-25,30.5,3.9
2024-03-26,30.8,4.1
2024-03-27,30.8,3.6
2024-03-28,31.5,3.1
2024-03-29,32.4,4.4
2024-03-30,32.1,4.4
2024-03-31,31.9,3.3
2024-04-01,32.4,3.5
2024-04-02,33.1,3.3
2024-04-03,33.4,4.3
2024-04-04,33.2,3.9
2024-04-05,33.5,3.1
2024-04-06,34.2,3.4
2024-04-07,34.0,4.1
2024-04-08,32.2,5.5
2024-04-09,31.7,4.6
2024-04-10,31.9,4.4
2024-04-11,31.9,3.8
2024-04-12,31.0,3.9
2024-04-13,31.8,3.7
2024-04-14,32.4,3.7
2024-04-15,33.3,3.4
2024-04-16,33.7,3.4
2024-04-17,34.4,3.3
2024-04-18,34.4,3.4
2024-04-19,34.8,3.7
2024-04-20,34.0,3.4
2024-04-21,33.3,2.5
2024-04-22,34.9,3.5
2024-04-23,34.8,3.8
2024-04-24,33.9,3.4
2024-04-25,34.4,3.9
2024-04-26,34.6,4.1
2024-04-27,34.7,3.7
2024-04-28,35.3,3.8
2024-04-29,35.1,4.6
2024-04-30,35.2,4.3
2024-05-01,36.1,4.1
2024-05-02,36.6,3.7
2024-05-03,36.3,3.5
2024-05-04,35.1,4.4
2024-05-05,34.9,4.4
2024-05-06,35.0,5.0
2024-05-07,33.0,5.6
2024-05-08,31.9,3.7
2024-05-09,30.4,4.7
2024-05-10,31.2,3.4
2024-05-11,33.5,4.1
2024-05-12,33.4,4.1
2024-05-13,32.6,3.0
2024-05-14,32.3,3.7
2024-05-15,32.7,3.2
2024-05-16,31.3,4.6
2024-05-17,26.4,2.4
2024-05-18,28.9,2.0
2024-05-19,29.7,1.9
2024-05-20,32.0,3.0
2024-05-21,32.5,3.5
2024-05-22,31.8,3.7
2024-05-23,33.3,3.3
2024-05-24,32.2,4.5
2024-05-25,32.3,4.2
2024-05-26,35.0,3.3
2024-05-27,38.5,5.5
2024-05-28,37.5,5.2
2024-05-29,38.5,4.0
2024-05-30,38.8,3.8
2024-05-31,37.2,4.5
2024-06-01,35.0,4.9
2024-06-02,33.1,3.1
2024-06-03,29.6,2.6
