Date,Temp,Wind
2023-08-06,27.4,5.1
2023-08-07,27.3,5.1
2023-08-08,27.5,4.6
2023-08-09,27.7,3.6
2023-08-10,27.7,2.9
2023-08-11,27.8,2.6
2023-08-12,27.3,2.9
2023-08-13,27.6,3.4
2023-08-14,26.7,2.7
2023-08-15,27.0,2.8
2023-08-16,27.3,3.3
2023-08-17,27.3,4.4
2023-08-18,24.5,4.0
2023-08-19,22.7,5.3
2023-08-20,24.6,4.2
2023-08-21,27.0,3.5
2023-08-22,27.1,2.7
2023-08-23,27.3,3.1
2023-08-24,26.9,3.2
2023-08-25,27.8,3.2
2023-08-26,27.0,3.2
2023-08-27,27.6,3.9
2023-08-28,27.3,3.9
2023-08-29,27.2,3.0
2023-08-30,27.7,3.1
2023-08-31,27.6,2.6
2023-09-01,28.7,1.7
2023-09-02,29.1,1.3
2023-09-03,27.0,2.7
2023-09-04,26.1,3.1
2023-09-05,25.0,3.9
2023-09-06,25.7,3.4
2023-09-07,24.4,4.6
2023-09-08,26.0,5.3
2023-09-09,25.7,5.2
2023-09-10,25.7,4.7
2023-09-11,25.7,4.8
2023-09-12,26.3,4.0
2023-09-13,25.1,3.0
2023-09-14,24.3,2.6
2023-09-15,25.1,3.9
2023-09-16,26.7,3.2
2023-09-17,27.4,2.8
2023-09-18,27.9,3.0
2023-09-19,27.6,3.3
2023-09-20,27.9,2.7
2023-09-21,24.9,2.0
2023-09-22,25.8,2.0
2023-09-23,26.7,1.3
2023-09-24,26.4,1.6
2023-09-25,25.4,2.6
2023-09-26,26.8,1.3
2023-09-27,27.5,0.9
2023-09-28,27.7,1.2
2023-09-29,27.0,2.6
2023-09-30,26.5,2.5
2023-10-01,26.8,3.1
2023-10-02,26.4,3.0
2023-10-03,26.7,3.7
2023-10-04,26.4,3.6
2023-10-05,26.2,3.2
2023-10-06,25.7,3.6
2023-10-07,26.4,2.6
2023-10-08,26.9,2.1
2023-10-09,27.0,2.0
2023-10-10,27.4,2.0
2023-10-11,27.2,2.3
2023-10-12,26.9,1.7
2023-10-13,26.8,1.8
2023-10-14,26.8,1.5
2023-10-15,26.4,1.6
2023-10-16,26.1,1.9
2023-10-17,26.2,1.9
2023-10-18,25.9,1.9
2023-10-19,25.8,2.2
2023-10-20,25.7,2.1
2023-10-21,25.4,2.9
2023-10-22,23.6,3.4
2023-10-23,23.2,3.5
2023-10-24,23.0,3.2
2023-10-25,23.2,3.1
2023-10-26,22.9,3.3
2023-10-27,23.1,2.7
2023-10-28,23.8,2.3
2023-10-29,24.2,1.9
2023-10-30,24.3,1.7
2023-10-31,24.5,1.8
2023-11-01,24.7,1.7
2023-11-02,25.1,1.5
2023-11-03,26.0,1.4
