Date,Temp,Wind
2023-08-06,30.4,4.2
2023-08-07,30.0,4.1
2023-08-08,30.2,3.4
2023-08-09,30.1,2.8
2023-08-10,30.0,2.2
2023-08-11,29.7,2.1
2023-08-12,28.9,2.2
2023-08-13,30.0,2.7
2023-08-14,29.4,2.1
2023-08-15,29.4,2.9
2023-08-16,29.8,2.4
2023-08-17,28.9,3.0
2023-08-18,28.4,3.3
2023-08-19,27.5,3.7
2023-08-20,28.9,2.9
2023-08-21,29.7,2.1
2023-08-22,29.4,1.5
2023-08-23,29.7,2.1
2023-08-24,29.8,2.5
2023-08-25,30.6,2.8
2023-08-26,29.3,2.6
2023-08-27,30.2,2.6
2023-08-28,30.0,2.9
2023-08-29,29.9,2.6
2023-08-30,30.4,2.4
2023-08-31,30.5,2.3
2023-09-01,31.1,1.7
2023-09-02,30.4,2.0
2023-09-03,26.8,2.9
2023-09-04,26.6,2.8
2023-09-05,26.7,3.9
2023-09-06,27.5,2.9
2023-09-07,27.9,3.7
2023-09-08,28.5,4.0
2023-09-09,28.5,3.6
2023-09-10,27.6,2.7
2023-09-11,28.1,2.8
2023-09-12,28.7,2.8
2023-09-13,28.8,2.9
2023-09-14,27.3,2.7
2023-09-15,28.7,3.3
2023-09-16,29.1,3.1
2023-09-17,29.4,2.3
2023-09-18,30.1,2.5
2023-09-19,30.2,2.5
2023-09-20,29.8,2.4
2023-09-21,27.7,1.5
2023-09-22,27.0,1.3
2023-09-23,28.5,1.6
2023-09-24,28.4,1.5
2023-09-25,27.8,1.7
2023-09-26,28.0,1.4
2023-09-27,28.8,1.3
2023-09-28,29.2,1.5
2023-09-29,28.5,1.7
2023-09-30,28.7,2.3
2023-10-01,29.1,2.6
2023-10-02,28.6,2.7
2023-10-03,29.8,2.9
2023-10-04,30.0,2.7
2023-10-05,29.0,2.8
2023-10-06,28.7,2.8
2023-10-07,28.7,2.6
2023-10-08,29.1,1.6
2023-10-09,29.4,1.3
2023-10-10,29.3,1.3
2023-10-11,29.4,1.5
2023-10-12,29.3,1.6
2023-10-13,29.5,1.4
2023-10-14,29.5,1.5
2023-10-15,29.5,1.3
2023-10-16,29.0,1.4
2023-10-17,29.0,1.6
2023-10-18,28.8,1.4
2023-10-19,28.6,1.6
2023-10-20,28.7,1.5
2023-10-21,28.4,1.8
2023-10-22,28.1,2.6
2023-10-23,27.0,3.0
2023-10-24,26.6,2.4
2023-10-25,27.0,2.6
2023-10-26,26.9,2.7
2023-10-27,26.5,2.3
2023-10-28,27.2,1.5
2023-10-29,27.9,1.4
2023-10-30,27.2,1.5
2023-10-31,27.3,1.5
2023-11-01,27.6,1.6
2023-11-02,27.8,1.7
2023-11-03,28.3,1.7
2023-11-04,27.5,1.7
2023-11-05,27.3,1.8
2023-11-06,26.9,1.7
2023-11-07,27.0,1.4
2023-11-08,26.3,1.2
2023-11-09,26.9,1.2
2023-11-10,27.5,1.5
2023-11-11,27.3,1.4
2023-11-12,26.8,1.7
2023-11-13,26.9,1.4
2023-11-14,26.3,1.5
2023-11-15,26.4,1.7
2023-11-16,26.2,2.2
2023-11-17,26.4,1.9
2023-11-18,26.2,1.8
2023-11-19,26.5,1.9
2023-11-20,27.0,2.0
2023-11-21,26.0,2.2
2023-11-22,26.4,1.4
2023-11-23,25.3,1.4
2023-11-24,25.1,1.9
2023-11-25,26.4,1.6
2023-11-26,26.7,2.1
2023-11-27,26.2,2.5
2023-11-28,25.8,2.1
2023-11-29,26.2,2.3
2023-11-30,26.2,2.1
2023-12-01,25.8,1.9
2023-12-02,26.2,1.8
2023-12-03,27.2,2.4
2023-12-04,25.1,3.1
2023-12-05,23.0,5.6
2023-12-06,23.1,3.7
2023-12-07,23.9,1.6
2023-12-08,24.2,2.0
2023-12-09,24.7,2.1
2023-12-10,24.1,2.1
2023-12-11,23.1,1.7
2023-12-12,22.8,1.7
2023-12-13,23.0,1.5
2023-12-14,23.4,1.5
2023-12-15,23.6,1.4
2023-12-16,24.1,1.2
2023-12-17,24.5,2.2
2023-12-18,23.4,2.0
2023-12-19,22.8,2.0
2023-12-20,22.6,1.7
2023-12-21,22.2,1.8
2023-12-22,21.4,1.6
2023-12-23,22.5,1.5
2023-12-24,22.9,1.7
2023-12-25,22.5,1.6
2023-12-26,22.9,1.7
2023-12-27,23.2,1.9
2023-12-28,23.2,2.1
2023-12-29,23.1,2.0
2023-12-30,23.0,1.9
2023-12-31,22.9,1.8
2024-01-01,23.7,1.9
2024-01-02,22.7,2.2
2024-01-03,23.7,2.4
2024-01-04,23.4,2.3
2024-01-05,23.3,2.7
2024-01-06,23.0,2.7
2024-01-07,23.5,2.6
2024-01-08,23.6,2.6
2024-01-09,23.8,2.6
2024-01-10,23.9,1.7
2024-01-11,25.4,1.6
2024-01-12,25.7,1.9
2024-01-13,25.5,1.9
2024-01-14,25.4,1.4
2024-01-15,25.8,1.7
2024-01-16,25.7,2.6
2024-01-17,25.2,3.4
2024-01-18,24.7,2.8
2024-01-19,25.0,2.3
2024-01-20,25.1,3.1
2024-01-21,25.4,2.8
2024-01-22,25.8,2.8
2024-01-23,26.1,3.9
2024-01-24,25.9,2.7
2024-01-25,25.5,1.3
2024-01-26,25.0,2.0
2024-01-27,24.7,1.8
2024-01-28,24.4,1.8
2024-01-29,24.1,2.1
2024-01-30,23.9,2.1
2024-01-31,24.3,2.5
2024-02-01,25.8,3.3
2024-02-02,26.6,2.5
2024-02-03,26.3,1.6
2024-02-04,26.5,2.0
2024-02-05,26.6,2.3
2024-02-06,27.6,2.4
2024-02-07,28.3,1.5
2024-02-08,28.4,1.8
2024-02-09,27.5,2.1
2024-02-10,27.6,3.6
2024-02-11,27.4,3.9
2024-02-12,26.2,3.6
2024-02-13,25.9,3.2
2024-02-14,26.4,3.0
2024-02-15,25.5,2.8
2024-02-16,25.0,2.3
2024-02-17,25.7,2.1
2024-02-18,26.5,2.6
2024-02-19,26.6,3.2
2024-02-20,27.4,2.7
2024-02-21,28.5,2.8
2024-02-22,28.4,1.9
2024-02-23,28.1,2.2
2024-02-24,28.7,3.5
2024-02-25,28.2,3.6
2024-02-26,27.8,3.8
2024-02-27,27.5,2.7
2024-02-28,27.8,2.1
2024-02-29,28.4,1.9
2024-03-01,28.9,2.4
2024-03-02,29.1,3.2
2024-03-03,28.9,3.3
2024-03-04,28.9,2.8
2024-03-05,28.5,2.1
2024-03-06,29.3,2.8
2024-03-07,29.9,2.7
2024-03-08,29.9,1.7
2024-03-09,29.8,2.5
2024-03-10,29.4,3.3
2024-03-11,28.9,2.8
2024-03-12,29.9,2.4
2024-03-13,31.1,2.6
2024-03-14,30.7,1.9
2024-03-15,30.1,3.0
2024-03-16,29.5,3.5
2024-03-17,29.1,3.0
2024-03-18,28.8,2.4
2024-03-19,28.9,2.9
2024-03-20,27.6,2.5
2024-03-21,28.3,3.1
2024-03-22,29.4,2.8
2024-03-23,30.1,2.7
2024-03-24,30.0,3.4
2024-03-25,29.3,2.7
2024-03-26,29.9,3.1
2024-03-27,29.7,3.0
2024-03-28,30.7,2.7
2024-03-29,31.9,3.3
2024-03-30,31.3,2.2
2024-03-31,30.8,2.5
2024-04-01,31.7,2.6
2024-04-02,32.2,2.5
2024-04-03,31.9,3.2
2024-04-04,31.8,2.7
2024-04-05,33.0,2.3
2024-04-06,33.5,2.0
2024-04-07,33.1,2.5
2024-04-08,31.3,4.5
2024-04-09,30.8,3.6
2024-04-10,31.1,3.0
2024-04-11,30.0,2.3
2024-04-12,29.9,2.8
2024-04-13,29.4,2.3
2024-04-14,31.4,2.5
2024-04-15,32.2,2.4
2024-04-16,33.3,1.8
2024-04-17,33.9,1.5
2024-04-18,33.8,1.6
2024-04-19,33.6,1.8
2024-04-20,31.9,2.2
2024-04-21,33.6,1.3
2024-04-22,33.3,1.8
2024-04-23,32.8,2.1
2024-04-24,32.6,1.8
2024-04-25,33.4,2.1
2024-04-26,34.1,2.8
2024-04-27,34.1,1.8
2024-04-28,34.6,2.5
2024-04-29,34.4,2.9
2024-04-30,34.7,2.7
2024-05-01,36.2,2.7
2024-05-02,35.8,2.0
2024-05-03,35.6,2.5
2024-05-04,34.7,2.3
2024-05-05,33.5,2.3
2024-05-06,33.3,2.1
2024-05-07,31.3,3.5
2024-05-08,30.2,2.7
2024-05-09,30.9,3.1
2024-05-10,31.6,3.1
2024-05-11,32.9,2.9
2024-05-12,32.4,3.0
2024-05-13,31.1,1.8
2024-05-14,32.2,2.5
2024-05-15,31.6,2.0
2024-05-16,30.6,2.5
2024-05-17,27.2,1.9
2024-05-18,28.9,2.0
2024-05-19,29.9,2.0
2024-05-20,31.5,2.4
2024-05-21,33.0,2.5
2024-05-22,33.0,2.2
2024-05-23,32.4,1.8
2024-05-24,32.7,2.5
2024-05-25,31.7,2.3
2024-05-26,33.6,3.2
2024-05-27,34.3,4.6
2024-05-28,34.7,4.1
2024-05-29,35.7,4.0
2024-05-30,36.4,3.2
2024-05-31,36.5,2.4
2024-06-01,35.2,2.9
2024-06-02,31.6,2.4
2024-06-03,28.7,1.6
2024-06-04,30.6,1.9
2024-06-05,31.3,1.6
2024-06-06,29.4,1.5
2024-06-07,29.3,2.1
2024-06-08,28.7,2.1
2024-06-09,30.0,2.5
2024-06-10,29.8,2.5
2024-06-11,30.0,3.4
2024-06-12,30.9,3.0
2024-06-13,30.7,3.5
2024-06-14,31.1,2.8
2024-06-15,32.2,3.4
2024-06-16,32.3,2.8
2024-06-17,31.6,1.9
2024-06-18,32.5,3.3
2024-06-19,31.9,3.2
2024-06-20,32.1,3.7
2024-06-21,31.6,3.2
2024-06-22,29.6,2.1
2024-06-23,28.9,1.5
2024-06-24,31.1,2.5
2024-06-25,31.7,3.1
2024-06-26,30.8,3.1
