Date,Temp,Wind
2023-08-06,27.4,4.0
2023-08-07,27.0,4.3
2023-08-08,27.0,3.5
2023-08-09,26.6,2.7
2023-08-10,27.3,2.5
2023-08-11,28.1,2.1
2023-08-12,26.3,1.9
2023-08-13,27.6,2.4
2023-08-14,27.1,2.1
2023-08-15,26.7,2.6
2023-08-16,27.2,2.6
2023-08-17,27.2,2.9
2023-08-18,25.6,3.1
2023-08-19,23.8,2.3
2023-08-20,25.8,2.7
2023-08-21,27.0,2.2
2023-08-22,27.3,2.0
2023-08-23,27.7,2.3
2023-08-24,27.6,2.4
2023-08-25,28.4,3.1
2023-08-26,27.5,2.5
2023-08-27,28.0,2.9
2023-08-28,26.7,2.7
2023-08-29,27.0,2.0
2023-08-30,27.9,2.1
2023-08-31,28.2,1.8
2023-09-01,29.1,1.3
2023-09-02,28.9,1.9
2023-09-03,25.1,2.5
2023-09-04,23.8,2.3
2023-09-05,23.9,2.7
2023-09-06,25.3,2.6
2023-09-07,25.1,4.4
2023-09-08,25.2,3.6
2023-09-09,24.9,2.8
2023-09-10,24.2,3.0
2023-09-11,26.1,2.9
2023-09-12,25.9,2.5
2023-09-13,26.2,2.7
2023-09-14,25.7,3.2
2023-09-15,26.5,3.5
2023-09-16,26.4,3.4
2023-09-17,26.8,2.8
2023-09-18,27.5,3.2
2023-09-19,27.7,2.0
2023-09-20,28.0,2.6
2023-09-21,26.0,2.1
2023-09-22,24.9,1.6
2023-09-23,26.4,2.1
2023-09-24,25.8,2.2
2023-09-25,25.0,1.9
2023-09-26,25.9,1.6
2023-09-27,26.4,1.3
2023-09-28,26.1,1.7
2023-09-29,26.3,1.4
2023-09-30,26.5,2.0
2023-10-01,26.7,2.7
2023-10-02,26.7,2.1
2023-10-03,27.5,2.1
2023-10-04,27.3,1.8
2023-10-05,26.5,1.7
2023-10-06,26.3,1.8
2023-10-07,26.8,1.7
2023-10-08,27.0,1.9
2023-10-09,27.6,1.3
2023-10-10,27.8,1.7
2023-10-11,27.9,1.7
2023-10-12,27.2,1.9
2023-10-13,27.3,1.9
2023-10-14,27.2,1.5
2023-10-15,27.5,1.4
2023-10-16,27.7,1.7
2023-10-17,27.4,1.5
2023-10-18,26.7,1.7
2023-10-19,26.7,1.9
2023-10-20,26.9,1.8
2023-10-21,26.6,2.0
2023-10-22,26.1,2.0
2023-10-23,25.1,2.1
2023-10-24,24.7,2.0
2023-10-25,24.4,2.1
2023-10-26,24.5,2.0
2023-10-27,24.4,2.1
2023-10-28,25.4,1.9
2023-10-29,26.1,1.5
2023-10-30,25.8,1.3
2023-10-31,25.5,1.7
2023-11-01,25.7,1.5
2023-11-02,26.3,1.8
2023-11-03,26.7,1.4
2023-11-04,26.5,1.5
2023-11-05,25.3,1.4
2023-11-06,26.0,1.7
2023-11-07,25.6,1.7
2023-11-08,25.6,1.9
2023-11-09,26.1,1.7
2023-11-10,26.3,1.9
2023-11-11,25.9,1.8
2023-11-12,25.7,1.8
2023-11-13,25.1,1.5
2023-11-14,25.7,1.6
2023-11-15,24.9,2.0
