Date,Temp,Wind
2023-08-06,31.4,3.8
2023-08-07,31.4,4.0
2023-08-08,31.6,3.6
2023-08-09,31.1,2.8
2023-08-10,30.6,2.5
2023-08-11,30.9,2.6
2023-08-12,29.8,2.9
2023-08-13,30.6,2.8
2023-08-14,30.3,2.5
2023-08-15,30.4,2.1
2023-08-16,30.7,2.9
2023-08-17,29.5,3.2
2023-08-18,28.0,3.4
2023-08-19,27.8,3.9
2023-08-20,29.6,2.7
2023-08-21,29.9,2.2
2023-08-22,29.7,2.2
2023-08-23,29.6,2.3
2023-08-24,29.5,2.2
2023-08-25,30.1,2.6
2023-08-26,28.3,2.1
2023-08-27,29.2,2.3
2023-08-28,30.1,2.6
2023-08-29,30.2,2.4
2023-08-30,30.3,2.3
2023-08-31,31.0,1.8
2023-09-01,30.8,1.3
2023-09-02,29.9,2.1
2023-09-03,29.1,2.8
2023-09-04,29.1,3.1
2023-09-05,27.9,3.5
2023-09-06,27.4,3.5
2023-09-07,28.8,3.2
2023-09-08,29.5,3.3
2023-09-09,30.3,3.1
2023-09-10,28.7,3.2
2023-09-11,27.3,3.3
2023-09-12,28.2,3.2
2023-09-13,28.6,3.0
2023-09-14,28.5,3.0
2023-09-15,29.8,3.5
2023-09-16,30.3,2.8
2023-09-17,30.6,2.3
2023-09-18,30.6,2.5
2023-09-19,30.4,2.6
2023-09-20,29.7,2.8
2023-09-21,28.0,2.0
2023-09-22,27.8,1.9
2023-09-23,29.0,1.9
2023-09-24,29.5,1.7
2023-09-25,29.3,2.2
2023-09-26,29.4,1.6
2023-09-27,29.5,1.0
2023-09-28,30.0,1.1
2023-09-29,29.3,1.5
2023-09-30,29.7,2.9
2023-10-01,30.0,3.4
2023-10-02,29.6,3.2
2023-10-03,29.7,2.8
2023-10-04,30.2,2.7
2023-10-05,29.4,2.4
2023-10-06,28.9,2.2
2023-10-07,29.9,2.0
2023-10-08,29.9,2.0
2023-10-09,29.9,1.6
2023-10-10,30.0,1.0
2023-10-11,30.3,1.0
2023-10-12,30.2,1.8
2023-10-13,29.5,1.6
2023-10-14,29.2,1.7
2023-10-15,29.5,1.5
2023-10-16,29.6,2.0
2023-10-17,29.2,1.5
2023-10-18,29.4,1.4
2023-10-19,29.5,1.9
2023-10-20,29.8,2.4
2023-10-21,29.7,2.9
2023-10-22,29.4,2.1
2023-10-23,28.7,2.2
2023-10-24,29.2,1.6
2023-10-25,29.6,1.2
2023-10-26,29.1,1.5
2023-10-27,29.1,1.7
2023-10-28,28.7,1.8
2023-10-29,28.6,2.0
2023-10-30,28.3,2.2
2023-10-31,28.0,3.1
2023-11-01,28.1,3.3
2023-11-02,28.9,2.9
2023-11-03,28.7,2.5
2023-11-04,27.7,2.2
2023-11-05,27.9,1.9
2023-11-06,27.5,1.6
2023-11-07,27.7,2.3
2023-11-08,27.6,1.6
2023-11-09,27.8,2.0
2023-11-10,27.2,2.2
2023-11-11,27.1,2.0
2023-11-12,27.1,2.2
2023-11-13,27.3,3.2
2023-11-14,27.7,3.3
2023-11-15,27.5,2.4
2023-11-16,28.3,1.9
2023-11-17,28.5,1.6
2023-11-18,28.4,2.6
2023-11-19,28.3,3.2
2023-11-20,27.4,4.4
2023-11-21,26.3,3.5
2023-11-22,27.7,2.4
2023-11-23,27.7,2.5
2023-11-24,28.5,3.7
2023-11-25,28.2,3.5
2023-11-26,28.1,3.9
2023-11-27,27.8,3.8
2023-11-28,27.5,3.2
2023-11-29,27.6,3.6
2023-11-30,27.4,3.5
2023-12-01,27.6,3.7
2023-12-02,27.6,5.4
2023-12-03,27.3,6.2
2023-12-04,24.4,6.2
2023-12-05,24.8,7.1
2023-12-06,24.8,3.8
2023-12-07,25.6,1.4
2023-12-08,26.1,1.6
2023-12-09,26.4,1.5
2023-12-10,25.6,1.8
2023-12-11,25.1,1.6
2023-12-12,25.3,1.8
2023-12-13,25.2,1.9
2023-12-14,24.6,2.5
2023-12-15,24.7,2.9
2023-12-16,25.5,2.1
2023-12-17,24.9,2.8
2023-12-18,24.7,2.6
2023-12-19,24.2,2.7
2023-12-20,24.0,2.3
2023-12-21,23.5,1.8
2023-12-22,23.5,1.5
2023-12-23,24.1,2.4
2023-12-24,24.3,2.6
2023-12-25,24.1,2.2
2023-12-26,24.3,2.2
2023-12-27,25.1,2.5
2023-12-28,24.7,2.7
2023-12-29,24.5,2.5
2023-12-30,25.0,1.8
2023-12-31,25.0,2.1
2024-01-01,25.1,2.0
2024-01-02,24.2,2.6
2024-01-03,24.3,3.2
2024-01-04,24.6,3.2
2024-01-05,24.3,3.6
2024-01-06,24.2,3.9
2024-01-07,24.3,4.1
2024-01-08,25.3,3.8
2024-01-09,25.8,3.7
2024-01-10,25.8,2.3
2024-01-11,26.5,1.6
2024-01-12,26.1,2.3
2024-01-13,26.6,1.4
2024-01-14,26.4,1.3
2024-01-15,25.9,2.0
2024-01-16,25.3,2.1
2024-01-17,25.0,2.6
2024-01-18,24.5,2.4
2024-01-19,24.9,2.5
2024-01-20,25.4,2.9
2024-01-21,25.5,2.5
2024-01-22,26.0,2.6
2024-01-23,26.1,2.8
2024-01-24,26.1,2.7
2024-01-25,26.2,1.8
2024-01-26,25.9,3.2
2024-01-27,26.1,2.3
2024-01-28,25.8,2.6
2024-01-29,24.9,2.4
2024-01-30,24.3,2.1
2024-01-31,24.5,2.2
2024-02-01,25.5,2.6
2024-02-02,26.4,2.3
2024-02-03,26.8,1.7
2024-02-04,26.6,2.1
2024-02-05,26.8,1.9
