date,weather_code
2023-08-06,55.0
2023-08-07,51.0
2023-08-08,51.0
2023-08-09,51.0
2023-08-10,55.0
2023-08-11,63.0
2023-08-12,53.0
2023-08-13,53.0
2023-08-14,53.0
2023-08-15,61.0
2023-08-16,55.0
2023-08-17,63.0
2023-08-18,63.0
2023-08-19,53.0
2023-08-20,51.0
2023-08-21,63.0
2023-08-22,65.0
2023-08-23,63.0
2023-08-24,61.0
2023-08-25,63.0
2023-08-26,65.0
2023-08-27,63.0
2023-08-28,51.0
2023-08-29,51.0
2023-08-30,1.0
2023-08-31,53.0
2023-09-01,65.0
2023-09-02,65.0
2023-09-03,61.0
2023-09-04,63.0
2023-09-05,65.0
2023-09-06,65.0
2023-09-07,55.0
2023-09-08,51.0
2023-09-09,65.0
2023-09-10,63.0
2023-09-11,61.0
2023-09-12,63.0
2023-09-13,51.0
2023-09-14,53.0
2023-09-15,63.0
2023-09-16,51.0
2023-09-17,63.0
2023-09-18,51.0
2023-09-19,65.0
2023-09-20,65.0
2023-09-21,61.0
2023-09-22,65.0
2023-09-23,63.0
2023-09-24,63.0
2023-09-25,63.0
2023-09-26,63.0
2023-09-27,63.0
2023-09-28,61.0
2023-09-29,63.0
2023-09-30,63.0
2023-10-01,63.0
2023-10-02,51.0
2023-10-03,65.0
2023-10-04,1.0
2023-10-05,1.0
2023-10-06,1.0
2023-10-07,51.0
2023-10-08,1.0
2023-10-09,53.0
2023-10-10,63.0
2023-10-11,51.0
2023-10-12,1.0
2023-10-13,3.0
2023-10-14,1.0
2023-10-15,0.0
2023-10-16,51.0
2023-10-17,1.0
2023-10-18,51.0
2023-10-19,51.0
2023-10-20,51.0
2023-10-21,51.0
2023-10-22,1.0
2023-10-23,2.0
2023-10-24,3.0
2023-10-25,2.0
2023-10-26,3.0
2023-10-27,63.0
2023-10-28,53.0
2023-10-29,51.0
2023-10-30,2.0
2023-10-31,1.0
2023-11-01,63.0
2023-11-02,53.0
2023-11-03,63.0
2023-11-04,63.0
2023-11-05,51.0
2023-11-06,63.0
2023-11-07,63.0
2023-11-08,63.0
2023-11-09,1.0
2023-11-10,1.0
2023-11-11,1.0
2023-11-12,1.0
2023-11-13,2.0
2023-11-14,2.0
2023-11-15,2.0
2023-11-16,3.0
2023-11-17,1.0
2023-11-18,2.0
2023-11-19,1.0
2023-11-20,63.0
2023-11-21,63.0
2023-11-22,51.0
2023-11-23,63.0
2023-11-24,1.0
2023-11-25,1.0
2023-11-26,2.0
2023-11-27,2.0
2023-11-28,2.0
2023-11-29,1.0
2023-11-30,1.0
2023-12-01,1.0
2023-12-02,2.0
2023-12-03,53.0
2023-12-04,63.0
2023-12-05,65.0
2023-12-06,61.0
2023-12-07,51.0
2023-12-08,1.0
2023-12-09,2.0
2023-12-10,51.0
2023-12-11,3.0
2023-12-12,3.0
2023-12-13,2.0
2023-12-14,1.0
2023-12-15,3.0
2023-12-16,3.0
2023-12-17,3.0
2023-12-18,3.0
2023-12-19,3.0
2023-12-20,2.0
2023-12-21,0.0
2023-12-22,1.0
2023-12-23,2.0
2023-12-24,1.0
2023-12-25,1.0
2023-12-26,3.0
2023-12-27,1.0
2023-12-28,1.0
2023-12-29,3.0
2023-12-30,1.0
2023-12-31,1.0
2024-01-01,1.0
2024-01-02,3.0
2024-01-03,1.0
2024-01-04,3.0
2024-01-05,1.0
2024-01-06,1.0
2024-01-07,2.0
2024-01-08,2.0
2024-01-09,3.0
2024-01-10,3.0
2024-01-11,2.0
2024-01-12,3.0
2024-01-13,3.0
2024-01-14,51.0
2024-01-15,51.0
2024-01-16,51.0
2024-01-17,3.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-20,1.0
2024-01-21,3.0
2024-01-22,3.0
2024-01-23,53.0
2024-01-24,3.0
2024-01-25,51.0
2024-01-26,2.0
2024-01-27,3.0
2024-01-28,2.0
2024-01-29,1.0
2024-01-30,1.0
2024-01-31,1.0
2024-02-01,1.0
2024-02-02,53.0
2024-02-03,2.0
2024-02-04,51.0
2024-02-05,3.0
2024-02-06,3.0
2024-02-07,3.0
2024-02-08,1.0
2024-02-09,3.0
2024-02-10,3.0
2024-02-11,2.0
2024-02-12,1.0
2024-02-13,1.0
2024-02-14,1.0
2024-02-15,3.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,1.0
2024-02-19,3.0
2024-02-20,3.0
2024-02-21,3.0
2024-02-22,51.0
2024-02-23,55.0
2024-02-24,51.0
2024-02-25,51.0
2024-02-26,2.0
2024-02-27,1.0
2024-02-28,1.0
2024-02-29,1.0
2024-03-01,51.0
2024-03-02,3.0
2024-03-03,2.0
2024-03-04,3.0
2024-03-05,3.0
2024-03-06,51.0
2024-03-07,3.0
2024-03-08,51.0
2024-03-09,3.0
2024-03-10,51.0
2024-03-11,51.0
2024-03-12,3.0
2024-03-13,51.0
2024-03-14,3.0
2024-03-15,3.0
2024-03-16,3.0
2024-03-17,3.0
2024-03-18,3.0
2024-03-19,3.0
2024-03-20,65.0
2024-03-21,51.0
2024-03-22,3.0
2024-03-23,51.0
2024-03-24,51.0
2024-03-25,61.0
2024-03-26,3.0
2024-03-27,3.0
2024-03-28,3.0
2024-03-29,3.0
2024-03-30,3.0
2024-03-31,3.0
2024-04-01,3.0
2024-04-02,3.0
2024-04-03,51.0
2024-04-04,3.0
2024-04-05,3.0
2024-04-06,3.0
2024-04-07,0.0
2024-04-08,51.0
2024-04-09,0.0
2024-04-10,1.0
2024-04-11,1.0
2024-04-12,2.0
2024-04-13,51.0
2024-04-14,3.0
2024-04-15,3.0
2024-04-16,1.0
2024-04-17,2.0
2024-04-18,55.0
2024-04-19,53.0
2024-04-20,51.0
2024-04-21,63.0
2024-04-22,3.0
2024-04-23,3.0
2024-04-24,3.0
2024-04-25,3.0
2024-04-26,3.0
2024-04-27,61.0
2024-04-28,2.0
2024-04-29,3.0
2024-04-30,3.0
2024-05-01,51.0
2024-05-02,2.0
2024-05-03,2.0
2024-05-04,65.0
2024-05-05,51.0
2024-05-06,1.0
2024-05-07,63.0
2024-05-08,2.0
2024-05-09,63.0
2024-05-10,51.0
2024-05-11,63.0
2024-05-12,61.0
2024-05-13,63.0
2024-05-14,65.0
2024-05-15,63.0
2024-05-16,63.0
2024-05-17,63.0
2024-05-18,63.0
2024-05-19,65.0
2024-05-20,61.0
2024-05-21,51.0
2024-05-22,51.0
2024-05-23,51.0
2024-05-24,65.0
2024-05-25,63.0
2024-05-26,3.0
2024-05-27,3.0
2024-05-28,1.0
2024-05-29,1.0
2024-05-30,1.0
2024-05-31,1.0
2024-06-01,51.0
2024-06-02,65.0
2024-06-03,51.0
2024-06-04,61.0
2024-06-05,65.0
2024-06-06,51.0
2024-06-07,55.0
2024-06-08,51.0
2024-06-09,51.0
2024-06-10,63.0
2024-06-11,51.0
2024-06-12,51.0
2024-06-13,53.0
2024-06-14,63.0
2024-06-15,63.0
2024-06-16,65.0
2024-06-17,63.0
2024-06-18,65.0
2024-06-19,51.0
2024-06-20,53.0
2024-06-21,55.0
2024-06-22,63.0
2024-06-23,65.0
2024-06-24,63.0
2024-06-25,61.0
2024-06-26,63.0
2024-06-27,63.0
2024-06-28,63.0
2024-06-29,63.0
2024-06-30,65.0
2024-07-01,63.0
2024-07-02,51.0
2024-07-03,51.0
2024-07-04,55.0
2024-07-05,53.0
2024-07-06,65.0
2024-07-07,63.0
2024-07-08,65.0
2024-07-09,65.0
2024-07-10,61.0
2024-07-11,63.0
2024-07-12,61.0
2024-07-13,65.0
2024-07-14,63.0
2024-07-15,61.0
2024-07-16,63.0
2024-07-17,63.0
2024-07-18,65.0
2024-07-19,65.0
2024-07-20,63.0
2024-07-21,63.0
2024-07-22,61.0
2024-07-23,63.0
2024-07-24,55.0
2024-07-25,55.0
2024-07-26,61.0
2024-07-27,63.0
2024-07-28,55.0
2024-07-29,65.0
2024-07-30,55.0
2024-07-31,55.0
2024-08-01,51.0
2024-08-02,63.0
2024-08-03,51.0
2024-08-04,51.0
